source_id,source_name,provider,owid_url,data_url,citation_short,retrieved_on
extreme_poverty,Share of population living in extreme poverty,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/share-of-population-in-extreme-poverty,https://ourworldindata.org/grapher/share-of-population-in-extreme-poverty.csv?v=1&csvType=full&useColumnShortNames=false,World Bank Poverty and Inequality Platform (2026) with major processing by Our World in Data,2026-05-19
life_expectancy,Life expectancy,UN World Population Prospects and other sources via Our World in Data,https://ourworldindata.org/grapher/life-expectancy,https://ourworldindata.org/grapher/life-expectancy.csv?v=1&csvType=full&useColumnShortNames=false,United Nations World Population Prospects with processing by Our World in Data,2026-05-19
child_mortality,Child mortality rate,UN IGME via Our World in Data,https://ourworldindata.org/grapher/child-mortality-igme,https://ourworldindata.org/grapher/child-mortality-igme.csv?v=1&csvType=full&useColumnShortNames=false,United Nations Inter-agency Group for Child Mortality Estimation (2025) with minor processing by Our World in Data,2026-05-19
adult_literacy,Literacy rates among adults,UNESCO Institute for Statistics via Our World in Data,https://ourworldindata.org/grapher/literacy,https://ourworldindata.org/grapher/literacy.csv?v=1&csvType=full&useColumnShortNames=false&age_group=adult&sex=both,UNESCO Institute for Statistics (2025) with minor processing by Our World in Data,2026-05-19
electricity_access,Share of the population with access to electricity,World Bank via Our World in Data,https://ourworldindata.org/grapher/share-of-the-population-with-access-to-electricity,https://ourworldindata.org/grapher/share-of-the-population-with-access-to-electricity.csv?v=1&csvType=full&useColumnShortNames=false,World Bank with processing by Our World in Data,2026-05-19
